CLAVE DE INMUEBLE,TECNOLOGIA INSTALADA,ANCHO DE BANDA CONTRATADO 2014,INSTITUCION,NOMBRE DEL CENTRO,TURNO/HORARIO,NIVEL,REGION,MUNICIPIO,LOCALIDAD,DOMICILIO,CODIGO POSTAL,LONGITUD,LATITUD,ESTATUS
1408233F, iMAX,2 MB,SEJ,IGNACIO LUIS VALLARTA,VESPERTINO,PRIMARIA,CENTRO,GUADALAJARA,GUADALAJARA,ISLA SALOMON 1220 ENTRE ISLA POMONA Y ISLA GUAITECAS ,44950,-103.3932,20.6345333,ACTIVO
1408793A,ADSL,10 MB,SEJ,MEXICO 2000,MATUTINO,SECUNDARIA,CENTRO,GUADALAJARA,GUADALAJARA,CALLE SANTA FE ¼ 2216,44710,-103.3002944,20.6871583,SUSPENDIDO
1410535E, iMAX,2 MB,SEJ,ESC. SEC. TEC. 121,MATUTINO,SECUNDARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,JARDINEROS 1 COL.ARTESANOS,45599,-103.3319444,20.61,ACTIVO
1403227A, iMAX,2 MB,SEJ,SILVANO BARBA GONZALEZ,MATUTINO,PRIMARIA,ALTOS SUR,VALLE DE GUADALUPE,SAN RAFAEL,CONOCIDO,47380,-102.5968,20.9652722,SIN SERVICIO
1403431C, iMAX,2 MB,SEJ,GERTRUDIS BOCANEGRA,MATUTINO,PREESCOLAR,ALTOS SUR,ACATIC,ACATIC,DOM CON COLONIA LA ERMITA,45470,-102.8981389,20.78375,ACTIVO
SSJ_643,ADSL,2 MB,SSJ,CENTRO DE SALUD RURAL DE ZAPOTITLAN,N/D,N/D,SUR,ZAPOTITLAN DE VADILLO,ZAPOTITLAN DE VADILLO,FRAY PEDRO DE GANTE # 5,49770,-103.8130556,19.5472222,SUSPENDIDO
1408251B,ADSL,10 MB,SEJ,JOSE CLEMENTE OROZCO,MATUTINO,PRIMARIA,CENTRO,GUADALAJARA,GUADALAJARA,J CLEMENTE OROZCO 708,44660,-103.3658306,20.6884111,SUSPENDIDO
1401949H, iMAX,2 MB,SEJ,MIGUEL HIDALGO Y COSTILLA,MATUTINO,PREESCOLAR,ALTOS ORTE,LAGOS DE MORENO,PASO DE CUARENTA (SAN MIGUEL DE CUARENTA),JUAREZ 1,47525,-101.7523972,21.5039722,SIN SERVICIO
1401820K,ADSL,2 MB,SEJ,IGNACIO ALLENDE,MATUTINO,PRIMARIA,ALTOS ORTE,ENCARNACION DE DIAZ,ENCARNACION DE DIAZ,SAN JUAN,47270,-102.2408889,21.5136028,SUSPENDIDO
1408213B, iMAX,2 MB,SEJ,USAER GUADALAJARA 25,VESPERTINO,ESPECIAL,CENTRO,GUADALAJARA,GUADALAJARA,ISLA CANCUN 2161 ENTRE ISLA BRETON Y ISLA ITACA ,44950,-103.3847222,20.6342778,ACTIVO
UDG_475, iMAX,2 MB,UDG,ESC. PREPA. REG. DE CASIMIRO CASTILLO,N/D,ESC. PREPA. REG. DE CASIMIRO CASTILLO,COSTA SUR,CASIMIRO CASTILLO,N/D,CARRETERA GUADALAJARA _ BARRA DE AVIDAD KM 15,N/D,-104.435278,19.602222,SIN SERVICIO
CCL_FONDEREG_010,ADSL,2 MB,GOB,FONDEREG / ZACOALCO DE TORRES,N/D,N/D,SUR,ZACOALCO DE TORRES,ZACOALCO DE TORRES,"RUBEN RAMIREZ FLORES S/N, ZACOALCO DE TORRES, ZACOALCO DE TORRES, C.P. ",N/D,N/D,N/D,SUSPENDIDO
DIF_MUN_099, iMAX,2 MB,DIF,N/D,N/D,N/D,CENTRO,TLAQUEPAQUE,N/D,AV. SANTA ROSALIA # 1040,N/D,-103.2933333,20.6405556,SIN SERVICIO
1410320C, iMAX,2 MB,SEJ,MARTIRES DEL RIO BLANCO,VESPERTINO,PRIMARIA,CENTRO,EL SALTO,EL SALTO,"SAN PEDRO 159, COL INFONAVIT LA MESA",45680,-103.1769444,20.5261111,ACTIVO
1409000C, iMAX,2 MB,SEJ,ENRIQUE GONZALEZ MARTINEZ,MATUTINO,PREESCOLAR,CENTRO,TLAJOMULCO DE ZUÑIGA,SAN MIGUEL CUYUTLAN,GUAMUCHIL 50,45660,-103.39525,20.42575,SIN SERVICIO
1403403E,INALAMBRICA,2 MB,SEJ,VICENTE SUAREZ,MATUTINO,SECUNDARIA,ALTOS SUR,SAN MIGUEL EL ALTO,LA ANGOSTURA (LA ANGOSTURA DE ARRIBA),KM. 82 CARR. LA BARCA-SAN JUAN,47140,-102.3440139,20.9336083,SUSPENDIDO
1404777K,ADSL,10 MB,SEJ,CENTRO ASISTENCIAL DE DESARROLLO ANGEL GUARDIAN,DISCONTINUO,INICIAL,SUR,ZAPOTLAN EL GRANDE,CIUDAD GUZMAN,ESPIRIDION MORENO 598,49010,-103.4716583,19.6891194,SUSPENDIDO
1406942J,ADSL,2 MB,SEJ,MARIANO BARCENA,MATUTINO,PRIMARIA,VALLES,AMECA,AMECA,ZARAGOZA 80,46600,-104.0453722,20.5479667,SUSPENDIDO
1409772J, iMAX,2 MB,SEJ,NARCISO MENDOZA,MATUTINO,PREESCOLAR,CENTRO,ZAPOPAN,ZAPOPAN,PRADO DE LOS LIRIOS,45050,-103.4255556,20.6611111,ACTIVO
1412263A, iMAX,2 MB,SEJ,EXTENSION COPALA ( CD GUZMAN),VESPERTINO,BACHILLERATO,SUR,TOLIMAN,TOLIMAN,LIBERTAD,49700,-103.7754694,19.6116111,SIN SERVICIO
1402709D,ADSL,2 MB,SEJ,SAUL RODILES,MATUTINO,PRIMARIA,ALTOS SUR,MEXTICACAN,MEXTICACAN,PORFIRIO DIAZ 37,47340,-102.7762278,21.2649194,SUSPENDIDO
1410788G, iMAX,2 MB,SEJ,JOSE CLEMENTE OROZCO,VESPERTINO,PRIMARIA,CENTRO,TONALA,TONALA,"CANARIO 19,COL. PINAR DE LAS PALOMAS ",45400,-103.2375,20.6643,ACTIVO
1410895X, iMAX,2 MB,SEJ,AGUSTIN YAÑEZ,VESPERTINO,PRIMARIA,CENTRO,TONALA,TONALA,"MELQUIADES PRECIADO PARTIDA 1,COL LA LADRILLERA",45428,-103.2305556,20.5980833,SIN SERVICIO
CCL_FONDEREG_001,ADSL,2 MB,GOB,FONDEREG / ATOTONILCO EL ALTO,N/D,N/D,CIENEGA,ATOTONILCO EL ALTO,ATOTONILCO EL ALTO,"SAN FELIPE O. 5, ATOTONILCO EL ALTO, ATOTONILCO EL ALTO, C.P. ",N/D,-102.512752,20.550379,SUSPENDIDO
1409056D, iMAX,2 MB,SEJ,15 DE MAYO,VESPERTINO,PRIMARIA,CENTRO,TLAJOMULCO DE ZUÑIGA,SANTA CRUZ DEL VALLE,1 DE MAYO 4 ORIENTE ENTRE GONZALEZ GALLO ,45655,-103.3335556,20.5474167,SIN SERVICIO
DIF_CDI_099, iMAX,2 MB,DIF,LA CORONILLA,N/D,PREESCOLAR,CENTRO,ZAPOPAN,N/D,"RAMON LOPEZ VELARDE 1680, COL. LA CORONILLA, ZAPOPAN C.P. 45199",45199,"103¡19'35.4"" ",20¡45'34.3  ,SIN SERVICIO
1405592J, iMAX,2 MB,SEJ,JEAN PIAGET,MATUTINO,PREESCOLAR,SIERRA DE AMULA,TUXCACUESCO,SAN MIGUEL,PIPILA 1,48770,-103.9373861,19.6747722,SIN SERVICIO
1410340G, iMAX,2 MB,SEJ,LAZARO CARDENAS DEL RIO,MATUTINO,SECUNDARIA,CENTRO,EL SALTO,LAS PINTAS,PROLONGACION 20 DE MAYO ENTRE EMILIANO ZAPATA Y LAZARO CARDENAS ,45690,-103.3253056,20.5726944,SIN SERVICIO
1402572J, iMAX,2 MB,SEJ,MANUEL LîPEZ COTILLA,MATUTINO,SECUNDARIA,ALTOS SUR,ACATIC,ACATIC,GENERAL PABLO RODRIGUEZ 246 ,45470,-102.91,20.7759,ACTIVO
1407501K,ADSL,10 MB,SEJ,JOSE GMO AYON ZESTER,VESPERTINO,PRIMARIA,CENTRO,GUADALAJARA,GUADALAJARA,A MENDEZ 3670,44770,-103.28225,20.675475,SUSPENDIDO
CCL_FONDEREG_007,ADSL,2 MB,GOB,FONDEREG / TOTATICHE,N/D,N/D,NORTE,TOTATICHE,TOTATICHE,"AV. GUADALAJARA 400, TOTATICHE, TOTATICHE, C.P. ",N/D,,,SUSPENDIDO
